ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
AAPL,20231113,184.8,185.82,186.03,184.21,186.4,-0.86,43627520,8063242609.15,184.82
AAPL,20231110,186.4,183.97,186.57,183.53,182.41,2.19,66177938,12266981490.04,185.36
AAPL,20231109,182.41,182.96,184.12,181.81,182.89,-0.26,53763540,9836056309.7,182.95
AAPL,20231108,182.89,182.35,183.45,181.59,181.82,0.59,49340282,9012392295.53,182.66
AAPL,20231107,181.82,179.18,182.44,178.97,179.23,1.45,70529938,12787105971.38,181.3
AAPL,20231106,179.23,176.38,179.43,176.21,176.65,1.46,63841309,11402441473.67,178.61
AAPL,20231103,176.65,174.24,176.82,173.35,177.57,-0.52,79829250,14019988082.47,175.62
AAPL,20231102,177.57,175.52,177.78,175.46,173.97,2.07,77334750,13695558883.88,177.09
AAPL,20231101,173.97,171.0,174.23,170.12,170.77,1.87,56934907,9824972795.8,172.57
AAPL,20231031,170.77,169.35,170.9,167.9,170.29,0.28,44846016,7616970248.76,169.85
AAPL,20231030,170.29,169.02,171.17,168.87,168.22,1.23,51130954,8696347543.22,170.08
AAPL,20231027,168.22,166.91,168.96,166.83,166.89,0.8,58499129,9822068108.14,167.9
AAPL,20231026,166.89,170.37,171.38,165.67,171.1,-2.46,70625250,11836509399.0,167.6
AAPL,20231025,171.1,171.88,173.06,170.65,173.44,-1.35,57156961,9804287844.12,171.53
AAPL,20231024,173.44,173.05,173.67,171.45,173.0,0.25,43816645,7567314677.91,172.7
AAPL,20231023,173.0,170.91,174.01,169.93,172.88,0.07,55980110,9648681937.3,172.36
AAPL,20231020,172.88,175.31,175.42,172.64,175.46,-1.47,64244028,11164938146.55,173.79
AAPL,20231019,175.46,176.04,177.84,175.19,175.84,-0.22,59302864,10454567720.74,176.29
AAPL,20231018,175.84,175.58,177.57,175.11,177.15,-0.74,54764375,9659779125.14,176.39
AAPL,20231017,177.15,176.65,178.42,174.8,178.72,-0.88,57549352,10177401478.47,176.85
AAPL,20231016,178.72,176.75,179.07,176.51,178.85,-0.07,52516985,9355875144.43,178.15
AAPL,20231013,178.85,181.42,181.93,178.14,180.71,-1.03,51456083,9233330989.6,179.44
AAPL,20231012,180.71,180.07,182.34,179.04,179.8,0.51,56743118,10269074431.43,180.97
AAPL,20231011,179.8,178.2,179.85,177.6,178.39,0.79,47551098,8507114922.36,178.9
AAPL,20231010,178.39,178.1,179.72,177.95,178.99,-0.34,43698020,7808937116.43,178.7
AAPL,20231009,178.99,176.81,179.05,175.8,177.49,0.85,42390774,7539364479.92,177.85
AAPL,20231006,177.49,173.8,177.99,173.18,174.91,1.48,57266676,10098091251.79,176.33
AAPL,20231005,174.91,173.79,175.45,172.68,173.66,0.72,48527918,8454514948.07,174.22
AAPL,20231004,173.66,171.09,174.21,170.97,172.4,0.73,53020286,9170622486.02,172.96
AAPL,20231003,172.4,172.26,173.63,170.82,173.75,-0.78,49594614,8536399038.78,172.12
AAPL,20231002,173.75,171.22,174.3,170.93,171.21,1.48,52164536,9039034282.9,173.28
AAPL,20230929,171.21,172.02,173.07,170.34,170.69,0.3,51861083,8900020997.16,171.61
AAPL,20230928,170.69,169.34,172.03,167.62,170.43,0.15,56294418,9586613440.72,170.29
AAPL,20230927,170.43,172.62,173.04,169.05,171.96,-0.89,66921813,11411246557.69,170.52
AAPL,20230926,171.96,174.82,175.2,171.66,176.08,-2.34,64588946,11157424581.55,172.75
AAPL,20230925,176.08,174.2,176.97,174.15,174.79,0.74,46172739,8111105497.3,175.67
AAPL,20230922,174.79,174.67,177.08,174.05,173.93,0.49,56725387,9954936703.48,175.49
AAPL,20230921,173.93,174.55,176.3,173.86,175.49,-0.89,63149118,11046605747.71,174.93
AAPL,20230920,175.49,179.26,179.7,175.4,179.07,-2.0,58436180,10348936449.26,177.1
AAPL,20230919,179.07,177.52,179.63,177.13,177.97,0.62,51826942,9245781855.63,178.4
AAPL,20230918,177.97,176.48,179.38,176.17,175.01,1.69,67257563,11970508461.07,177.98
AAPL,20230915,175.01,176.48,176.5,173.82,175.74,-0.42,109259440,19126630880.67,175.06
AAPL,20230914,175.74,174.0,176.1,173.58,174.21,0.88,60895758,10679350585.18,175.37
AAPL,20230913,174.21,176.51,177.3,173.98,176.3,-1.19,84267938,14750150319.2,175.04
AAPL,20230912,176.3,179.49,180.13,174.82,179.36,-1.71,90370188,15967129866.63,176.69
AAPL,20230911,179.36,180.07,180.3,177.34,178.18,0.66,58953051,10540310313.17,178.79
AAPL,20230908,178.18,178.35,180.24,177.79,177.56,0.35,65602063,11750097027.44,179.11
AAPL,20230907,177.56,175.18,178.21,173.54,182.91,-2.92,112488820,19875514619.22,176.69
AAPL,20230906,182.91,188.4,188.85,181.47,189.7,-3.58,81755813,15024437442.22,183.77
AAPL,20230905,189.7,188.28,189.98,187.61,189.46,0.13,45280028,8563667252.35,189.13
AAPL,20230901,189.46,189.49,189.92,188.28,187.87,0.85,45766504,8650418454.05,189.01
AAPL,20230831,187.87,187.84,189.12,187.48,187.65,0.12,60794469,11441221172.9,188.2
AAPL,20230830,187.65,184.94,187.85,184.74,184.12,1.92,60813887,11368670271.69,186.94
AAPL,20230829,184.12,179.7,184.9,179.5,180.19,2.18,53003950,9713578082.53,183.26
AAPL,20230828,180.19,180.09,180.59,178.54,178.61,0.88,43820696,7870372722.59,179.6
AAPL,20230825,178.61,177.38,179.15,175.82,176.38,1.26,51449594,9148715869.98,177.82
AAPL,20230824,176.38,180.67,181.1,176.01,181.12,-2.62,54945797,9764175823.36,177.71
AAPL,20230823,181.12,178.52,181.55,178.32,177.23,2.19,52722754,9524876920.81,180.66
AAPL,20230822,177.23,177.06,177.68,176.25,175.84,0.79,42084247,7448928552.7,177.0
AAPL,20230821,175.84,175.07,176.13,173.74,174.49,0.77,46311879,8113313245.38,175.19
AAPL,20230818,174.49,172.3,175.1,171.96,174.0,0.28,61172149,10635531132.8,173.86
AAPL,20230817,174.0,177.14,177.51,173.48,176.57,-1.46,66062875,11534618273.35,174.6
AAPL,20230816,176.57,177.13,178.54,176.5,177.45,-0.5,46964856,8337497585.36,177.53
AAPL,20230815,177.45,178.88,179.48,177.05,179.46,-1.12,43622594,7760978581.47,177.91
AAPL,20230814,179.46,177.97,179.69,177.31,177.79,0.94,43675629,7814530891.94,178.92
AAPL,20230811,177.79,177.32,178.62,176.55,177.97,-0.1,52036672,9252344559.66,177.8
AAPL,20230810,177.97,179.48,180.75,177.6,178.19,-0.12,54686852,9780093253.53,178.84
AAPL,20230809,178.19,180.87,180.93,177.01,179.8,-0.9,60378493,10776136068.07,178.48
AAPL,20230808,179.8,179.69,180.27,177.58,178.85,0.53,67823000,12138933410.8,178.98
AAPL,20230807,178.85,182.13,183.13,177.35,181.99,-1.73,97576063,17455412158.65,178.89
